filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
frame01.png,1278400,{},6,0,"{""name"":""rect"",""x"":678,""y"":247,""width"":104,""height"":103}","{""model"":""0""}"
frame01.png,1278400,{},6,1,"{""name"":""rect"",""x"":816,""y"":225,""width"":109,""height"":103}","{""model"":""0""}"
frame01.png,1278400,{},6,2,"{""name"":""rect"",""x"":847,""y"":371,""width"":99,""height"":99}","{""model"":""0""}"
frame01.png,1278400,{},6,3,"{""name"":""rect"",""x"":726,""y"":527,""width"":107,""height"":109}","{""model"":""0""}"
frame01.png,1278400,{},6,4,"{""name"":""rect"",""x"":584,""y"":554,""width"":109,""height"":105}","{""model"":""0""}"
frame01.png,1278400,{},6,5,"{""name"":""rect"",""x"":559,""y"":416,""width"":105,""height"":96}","{""model"":""0""}"
frame02.png,1332557,{},6,0,"{""name"":""rect"",""x"":883,""y"":404,""width"":98,""height"":94}","{""model"":""0""}"
frame02.png,1332557,{},6,1,"{""name"":""rect"",""x"":1010,""y"":273,""width"":96,""height"":101}","{""model"":""0""}"
frame02.png,1332557,{},6,2,"{""name"":""rect"",""x"":1136,""y"":280,""width"":95,""height"":89}","{""model"":""0""}"
frame02.png,1332557,{},6,3,"{""name"":""rect"",""x"":1150,""y"":405,""width"":89,""height"":98}","{""model"":""0""}"
frame02.png,1332557,{},6,4,"{""name"":""rect"",""x"":1025,""y"":534,""width"":100,""height"":94}","{""model"":""0""}"
frame02.png,1332557,{},6,5,"{""name"":""rect"",""x"":899,""y"":535,""width"":90,""height"":104}","{""model"":""0""}"
frame03.png,1337213,{},9,0,"{""name"":""rect"",""x"":517,""y"":238,""width"":84,""height"":86}","{""model"":""1""}"
frame03.png,1337213,{},9,1,"{""name"":""rect"",""x"":624,""y"":226,""width"":95,""height"":85}","{""model"":""1""}"
frame03.png,1337213,{},9,2,"{""name"":""rect"",""x"":756,""y"":221,""width"":90,""height"":89}","{""model"":""1""}"
frame03.png,1337213,{},9,3,"{""name"":""rect"",""x"":509,""y"":360,""width"":98,""height"":90}","{""model"":""1""}"
frame03.png,1337213,{},9,4,"{""name"":""rect"",""x"":627,""y"":347,""width"":101,""height"":94}","{""model"":""1""}"
frame03.png,1337213,{},9,5,"{""name"":""rect"",""x"":752,""y"":335,""width"":99,""height"":98}","{""model"":""1""}"
frame03.png,1337213,{},9,6,"{""name"":""rect"",""x"":513,""y"":474,""width"":97,""height"":93}","{""model"":""1""}"
frame03.png,1337213,{},9,7,"{""name"":""rect"",""x"":632,""y"":474,""width"":96,""height"":96}","{""model"":""1""}"
frame03.png,1337213,{},9,8,"{""name"":""rect"",""x"":760,""y"":471,""width"":101,""height"":94}","{""model"":""1""}"
frame04.png,1331875,{},6,0,"{""name"":""rect"",""x"":547,""y"":205,""width"":83,""height"":86}","{""model"":""0""}"
